timestamp,raw,avg,hp,zero_cross
2025-07-31T18:20:07.321825,46747,1495604,10,0
2025-07-31T18:20:07.322968,46734,1495601,-3,0
2025-07-31T18:20:07.324082,46736,1495600,-1,0
2025-07-31T18:20:07.325336,46709,1495572,-27,0
2025-07-31T18:20:07.328877,46742,1495578,6,1
2025-07-31T18:20:07.341051,46759,1495601,22,0
2025-07-31T18:20:07.352977,46756,1495620,18,0
2025-07-31T18:20:07.364590,46732,1495614,-5,0
2025-07-31T18:20:07.376164,46721,1495598,-16,0
2025-07-31T18:20:07.387934,46731,1495592,-6,0
2025-07-31T18:20:07.399685,46748,1495603,11,1
2025-07-31T18:20:07.411553,46744,1495610,7,0
2025-07-31T18:20:07.423162,46732,1495605,-5,0
2025-07-31T18:20:07.434780,46754,1495622,16,0
2025-07-31T18:20:07.446548,46791,1495675,52,0
2025-07-31T18:20:07.458187,46735,1495671,-4,0
2025-07-31T18:20:07.469433,46776,1495708,36,1
2025-07-31T18:20:07.480733,46760,1495728,19,0
2025-07-31T18:20:07.492142,46732,1495719,-9,0
2025-07-31T18:20:07.503768,46731,1495709,-9,0
2025-07-31T18:20:07.515892,46752,1495721,11,0
2025-07-31T18:20:07.527645,46758,1495738,17,0
2025-07-31T18:20:07.539552,46733,1495730,-8,0
2025-07-31T18:20:07.564465,46731,1495720,-10,0
2025-07-31T18:20:07.583995,46742,1495721,1,1
2025-07-31T18:20:07.585218,46759,1495739,18,0
2025-07-31T18:20:07.591254,46729,1495727,-12,0
2025-07-31T18:20:07.603167,46730,1495716,-11,0
2025-07-31T18:20:07.614590,46737,1495712,-4,0
2025-07-31T18:20:07.625808,46763,1495734,22,1
2025-07-31T18:20:07.637262,46713,1495706,-27,0
2025-07-31T18:20:07.648365,46749,1495715,8,0
2025-07-31T18:20:07.659358,46717,1495691,-23,0
2025-07-31T18:20:07.670593,46733,1495684,-7,0
2025-07-31T18:20:07.681995,46724,1495668,-15,0
2025-07-31T18:20:07.693344,46754,1495683,14,1
2025-07-31T18:20:07.704355,46735,1495678,-4,0
2025-07-31T18:20:07.716044,46736,1495675,-3,0
2025-07-31T18:20:07.727600,46735,1495671,-4,0
2025-07-31T18:20:07.738663,46725,1495657,-14,0
2025-07-31T18:20:07.749809,46755,1495673,16,1
2025-07-31T18:20:07.761042,46727,1495661,-12,0
2025-07-31T18:20:07.772153,46751,1495673,12,0
2025-07-31T18:20:07.783145,46759,1495693,19,0
2025-07-31T18:20:07.794669,46739,1495692,-1,0
2025-07-31T18:20:07.806047,46754,1495706,14,1
2025-07-31T18:20:07.817343,46749,1495715,8,0
2025-07-31T18:20:07.828712,46754,1495728,13,0
2025-07-31T18:20:07.840160,46722,1495709,-18,0
2025-07-31T18:20:07.851569,46753,1495722,12,0
2025-07-31T18:20:07.862683,46737,1495718,-4,0
2025-07-31T18:20:07.874176,46747,1495724,6,1
2025-07-31T18:20:07.886805,46731,1495714,-10,0
2025-07-31T18:20:07.899222,46733,1495706,-7,0
2025-07-31T18:20:07.910461,46731,1495697,-9,0
2025-07-31T18:20:07.933255,46725,1495682,-15,0
2025-07-31T18:20:07.954876,46736,1495678,-3,0
2025-07-31T18:20:07.956770,46737,1495676,-2,0
2025-07-31T18:20:07.961782,46746,1495683,6,1
2025-07-31T18:20:07.973538,46733,1495676,-6,0
2025-07-31T18:20:07.985394,46729,1495666,-10,0
2025-07-31T18:20:07.997779,46713,1495640,-25,0
2025-07-31T18:20:08.009412,46728,1495630,-10,0
2025-07-31T18:20:08.021252,46729,1495621,-9,0
2025-07-31T18:20:08.035781,46728,1495611,-9,0
2025-07-31T18:20:08.047812,46755,1495629,17,1
2025-07-31T18:20:08.059263,46732,1495623,-6,0
2025-07-31T18:20:08.070544,46755,1495640,17,0
2025-07-31T18:20:08.081851,46749,1495651,10,0
2025-07-31T18:20:08.094297,46740,1495652,1,0
2025-07-31T18:20:08.105968,46744,1495657,5,0
2025-07-31T18:20:08.117700,46747,1495665,8,0
2025-07-31T18:20:08.128996,46745,1495671,6,0
2025-07-31T18:20:08.140469,46718,1495650,-21,0
2025-07-31T18:20:08.152977,46745,1495656,6,1
2025-07-31T18:20:08.164359,46739,1495656,0,0
2025-07-31T18:20:08.175785,46749,1495666,10,0
2025-07-31T18:20:08.187344,46743,1495670,4,0
2025-07-31T18:20:08.199200,46749,1495680,9,0
2025-07-31T18:20:08.210771,46750,1495690,10,0
2025-07-31T18:20:08.222333,46728,1495678,-11,0
2025-07-31T18:20:08.234018,46745,1495684,5,1
2025-07-31T18:20:08.245255,46753,1495697,13,0
2025-07-31T18:20:08.256769,46752,1495709,12,0
2025-07-31T18:20:08.268344,46731,1495700,-9,0
2025-07-31T18:20:08.280012,46737,1495697,-3,0
2025-07-31T18:20:08.291773,46733,1495690,-7,0
2025-07-31T18:20:08.314789,46737,1495687,-3,0
2025-07-31T18:20:08.336432,46734,1495681,-6,0
2025-07-31T18:20:08.337585,46758,1495699,18,1
2025-07-31T18:20:08.347172,46739,1495698,-1,0
2025-07-31T18:20:08.358783,46724,1495682,-16,0
2025-07-31T18:20:08.370342,46733,1495675,-6,0
2025-07-31T18:20:08.381696,46723,1495659,-16,0
2025-07-31T18:20:08.392694,46731,1495651,-8,0
2025-07-31T18:20:08.403888,46748,1495660,9,1
2025-07-31T18:20:08.415225,46729,1495650,-10,0
2025-07-31T18:20:08.426446,46754,1495665,15,0
2025-07-31T18:20:08.437925,46732,1495658,-7,0
2025-07-31T18:20:08.449436,46724,1495643,-14,0
2025-07-31T18:20:08.460729,46736,1495641,-2,0
2025-07-31T18:20:08.472361,46749,1495652,10,1
2025-07-31T18:20:08.483588,46755,1495668,16,0
2025-07-31T18:20:08.494801,46719,1495648,-20,0
2025-07-31T18:20:08.505956,46725,1495634,-13,0
2025-07-31T18:20:08.517881,46736,1495632,-2,0
2025-07-31T18:20:08.529546,46733,1495627,-5,0
2025-07-31T18:20:08.540738,46745,1495634,7,1
2025-07-31T18:20:08.551525,46732,1495628,-6,0
2025-07-31T18:20:08.562524,46733,1495623,-5,0
2025-07-31T18:20:08.573569,46725,1495610,-12,0
